sourcecode,latnad27,lonnad27,elevngvd29m,obsgrvless976000mg,itc,otc,faanom,cbanom267,latnad83,lonnad83,elevngvd88m
2713 ngs,41.586334,-121.61333,2045.5,3762.6,0.06,3.04,82.41,-144.99,41.5862132,-121.6144365,2046.77
27130192,41.586498,-121.61333,2045.5,3762.64,0.06,3.04,82.43,-144.97,41.5863772,-121.6144365,2046.77
2713 ngs,41.622334,-121.61333,2104.6,3750.21,0.29,4.02,85,-147.81,41.6222126,-121.6144365,2105.87
27130236,41.622501,-121.61333,2104.6,3750.17,0.28,4.02,84.94,-147.87,41.6223796,-121.6144365,2105.87
77483017,41.597168,-121.611,2063.6,3760.75,0.08,3.17,85.16,-144.12,41.597047,-121.6121064,2064.87
2773 ngs,41.502335,-121.60983,1678.2,3811.4,0.61,1.78,25.55,-161.39,41.5022157,-121.6109363,1679.4
774817,41.525665,-121.60966,1852.8,3784.31,0.08,2.33,50.18,-156.33,41.5255453,-121.6107663,1854.03
77481235,41.629665,-121.60917,2061.9,3760.14,0.16,3.82,81.11,-147.25,41.6295435,-121.6102764,2063.16
77485017,41.579166,-121.608,2027.2,3763.75,0.19,3.13,78.56,-146.57,41.5790454,-121.6091063,2028.47
77482017,41.609001,-121.6075,2083,3755.31,1.01,3.54,84.64,-145.51,41.6088799,-121.6086063,2084.27
77481235,41.5905,-121.60467,2035.4,3767.39,0.14,2.97,83.71,-142.55,41.5903792,-121.6057762,2036.67
77480235,41.524166,-121.60316,1832.9,3787,0.11,2.25,46.87,-157.45,41.5240463,-121.6042661,1834.13
77481017,41.637165,-121.60267,2011.3,3767.25,0.22,3.54,71.95,-150.96,41.6370434,-121.6037763,2012.56
77481235,41.516167,-121.60217,1779,3795.14,0.21,2.01,39.12,-159.3,41.5160475,-121.6032761,1780.22
2713 ngs,41.672333,-121.60167,1802,3805.8,0.3,2.29,42.84,-157.79,41.6722108,-121.6027763,1803.23
27130234,41.672501,-121.60167,1802,3805.82,0.3,2.29,42.84,-157.79,41.6723788,-121.6027763,1803.23
77486017,41.578999,-121.601,2029.7,3766,0.08,3.09,81.6,-143.97,41.5788784,-121.6021061,2030.96
2773 ngs,41.672165,-121.60083,1801.6,3806.3,0.25,2.29,43.23,-157.41,41.6720428,-121.6019363,1802.83
