#sourcecode,latnad27,lonnad27,elevngvd29m,obsgrvless976000mg,itc,otc,faanom,cbanom267,latnad83,lonnad83,elevngvd88m
35440000,48.106667,-123.24667,49.1,4850.31,0.13,1.07,-34.3,-38.67,48.1064815,-123.2479621,50.19
5198 ngs,47.914833,-123.24583,618.6,4675.8,5.38,16,-15.92,-64.56,47.9146463,-123.2471181,619.83
51980075,47.915001,-123.24583,618.6,4675.82,5.13,15.96,-15.91,-64.84,47.9148143,-123.2471182,619.83
35440000,47.150002,-123.24,147.5,4806.71,0.34,0.09,38.7,22.41,47.1498183,-123.2412648,148.55
3544 ngs,47.149834,-123.23983,147.5,4806.71,0.51,0.09,38.72,22.6,47.1496503,-123.2410948,148.55
22672007,47.759998,-123.239,747.1,4615.21,3.96,17.85,-22.93,-85.65,47.7598106,-123.2402826,748.35
2267 ngs,47.759834,-123.23883,747.1,4615.21,3.88,17.79,-22.92,-85.78,47.7596466,-123.2401126,748.35
3544 ngs,47.311668,-123.23833,20.1,4808.6,0.78,0.89,-13.29,-13.9,47.3114824,-123.2395978,21.16
35440000,47.311668,-123.23833,20.1,4808.61,0.78,0.89,-13.28,-13.89,47.3114824,-123.2395978,21.16
22670281,48.089668,-123.236,92.1,4832.64,0.03,1.31,-37.18,-46.28,48.0894824,-123.2372916,93.2
2267 ngs,48.089668,-123.23583,92.1,4832.6,0.03,1.31,-37.22,-46.32,48.0894824,-123.2371216,93.2
4506 ngs,48.002834,-123.23517,512.7,4743.4,0.83,4.52,11.1,-41.6,48.0026477,-123.2364609,513.82
