#sourcecode,latnad27,lonnad27,elevngvd29m,obsgrvless976000mg,itc,otc,faanom,cbanom267,latnad83,lonnad83,elevngvd88m
27130220,41.891335,-121.88834,1291.4,3932.25,0.14,1.09,-7.8,-152.44,41.8912052,-121.8894543,1292.56
2773 ngs,41.872334,-121.88817,1291.8,3934.1,0.16,0.86,-4.12,-149.01,41.8722047,-121.8892843,1292.96
2773  58,41.872501,-121.88817,1291.8,3934.08,0.16,0.86,-4.15,-149.05,41.8723717,-121.8892843,1292.96
774806,41.377167,-121.88766,1381.3,3862.06,0.71,2.13,-4.08,-157.22,41.3770458,-121.8887712,1382.48
2713 ngs,41.872833,-121.88667,1291.1,3933.71,0.17,0.93,-4.77,-149.51,41.8727037,-121.8877842,1292.26
27130218,41.873001,-121.88667,1291.1,3933.71,0.17,0.93,-4.79,-149.52,41.8728717,-121.8877842,1292.26
2713 ngs,41.441666,-121.88667,1485.6,3843.1,0.03,1.55,3.33,-162.8,41.4415432,-121.8877825,1486.8
27130346,41.441666,-121.88667,1485.6,3843.11,0.03,1.55,3.34,-162.79,41.4415432,-121.8877825,1486.8
774824,41.322666,-121.88567,1256.4,3882.19,3.04,3.22,-17.56,-153.24,41.3225462,-121.88678,1257.53
774809,41.359165,-121.88417,1589.3,3818.75,1.98,2.84,18.35,-156.18,41.3590443,-121.8852807,1590.48
666920W,41.458668,-121.88383,1514.1,3839.14,0.18,1.95,6.63,-162.15,41.4585447,-121.8849428,1515.31
2713 ngs,41.495335,-121.88333,1662.1,3809.4,0.36,2.06,19.22,-165.89,41.4952108,-121.8844436,1663.35
27130349,41.495499,-121.88333,1662.1,3809.44,0.4,2.06,19.24,-165.82,41.4953748,-121.8844436,1663.35
5675 ngs,41.616165,-121.883,1422.2,3870.49,0.02,0.91,-4.5,-164.15,41.6160402,-121.8841138,1423.39
666918W,41.458668,-121.883,1512.9,3839.46,0.13,1.91,6.58,-162.15,41.4585447,-121.8841128,1514.11
666916W,41.458668,-121.88233,1511.7,3839.8,0.12,1.88,6.55,-162.09,41.4585447,-121.8834428,1512.91
666916W,41.4575,-121.88216,1499.7,3841.35,0.23,1.89,4.5,-162.66,41.4573767,-121.8832728,1500.91
5675 164,41.663166,-121.88167,1392,3878.76,0.05,0.62,-9.76,-166.28,41.66304,-121.8827838,1393.18
2713 ngs,41.740833,-121.88167,1338.7,3892.4,0.01,0.67,-19.54,-170.05,41.7407052,-121.8827839,1339.87
666914W,41.4585,-121.88167,1510.2,3840.58,0.12,1.85,6.88,-161.62,41.4583767,-121.8827828,1511.41
666914W,41.4575,-121.88133,1496.2,3842.18,0.29,1.88,4.25,-162.47,41.4573767,-121.8824427,1497.41
5025336,41.974834,-121.88116,1259.4,3958.32,0.05,0.31,0.89,-141.02,41.974702,-121.8822741,1260.52
666912W,41.4585,-121.88084,1509.3,3840.94,0.11,1.82,6.96,-161.47,41.4583767,-121.8819528,1510.51
666912W,41.4575,-121.88067,1498.1,3842.29,0.21,1.84,4.95,-162.11,41.4573767,-121.8817827,1499.31
666910_,41.4585,-121.88017,1507.6,3841.36,0.09,1.8,6.86,-161.43,41.4583767,-121.8812827,1508.81
27130221,41.974834,-121.88,1259.4,3958.14,0.03,0.3,0.71,-141.23,41.974702,-121.881114,1260.52
2713 ngs,41.974834,-121.87984,1259.4,3958.1,0.03,0.3,0.67,-141.27,41.974702,-121.880954,1260.52
666910W,41.4575,-121.87984,1498.6,3842.18,0.13,1.8,4.99,-162.24,41.4573767,-121.8809527,1499.81
66698W,41.458332,-121.87933,1507.8,3841.23,0.05,1.76,6.81,-161.58,41.4582087,-121.8804427,1509.01
66698W,41.4575,-121.879,1498.1,3842.16,0.1,1.77,4.82,-162.42,41.4573767,-121.8801127,1499.31
66696W,41.458332,-121.87867,1508.2,3841.03,0.04,1.73,6.73,-161.74,41.4582087,-121.8797827,1509.41
774811,41.349667,-121.8785,1687.8,3798.81,1.81,3.58,29.62,-155.4,41.3495465,-121.8796104,1688.98
2713 ngs,41.450333,-121.87833,1495.7,3841.9,0.02,1.5,4.46,-162.86,41.4502099,-121.8794425,1496.9
